,actual,predicted
0,1,1
1,2,2
2,2,2
3,2,2
4,1,1
5,1,1
6,3,3
7,0,0
8,0,0
9,0,0
10,3,3
11,3,3
12,1,1
13,2,2
14,0,0
15,0,0
16,3,3
17,3,3
18,1,1
19,1,1
20,3,3
21,3,3
22,1,1
23,0,0
24,1,1
25,2,2
26,3,3
27,3,2
28,2,2
29,0,0
30,3,3
31,0,0
32,1,1
33,3,3
34,0,0
35,1,1
36,1,1
37,3,3
38,2,2
39,2,2
40,2,2
41,3,3
42,1,1
43,1,1
44,0,0
45,1,1
46,3,3
47,1,1
48,0,0
49,3,3
50,2,2
51,2,2
52,3,3
53,1,1
54,2,2
55,2,3
56,0,0
57,3,3
58,1,1
59,2,2
60,1,1
61,0,0
62,0,0
63,2,2
64,2,2
65,3,3
66,3,3
67,3,3
68,0,0
69,3,3
70,3,3
71,2,2
72,0,0
73,3,3
74,0,0
75,1,1
76,0,0
77,0,0
78,3,3
79,1,1
80,3,3
81,2,2
82,3,3
83,1,1
84,1,1
85,1,1
86,0,0
87,3,3
88,2,2
89,2,2
90,3,3
91,2,2
92,0,0
93,0,0
94,1,1
95,3,3
96,0,0
97,2,2
98,0,0
99,1,1
100,3,3
101,1,1
102,1,1
103,0,0
104,0,0
105,1,1
106,3,3
107,3,3
108,3,3
109,3,3
110,1,1
111,1,1
112,0,0
113,2,2
114,3,3
115,3,3
116,2,2
117,1,1
118,0,0
119,1,1
120,2,2
121,3,3
122,3,3
123,3,3
124,2,2
125,3,3
126,2,2
127,1,1
128,3,3
129,0,0
130,3,3
131,1,1
132,2,2
133,1,1
134,2,2
135,2,2
136,1,1
137,3,3
138,0,0
139,0,0
140,2,2
141,0,0
142,3,3
143,2,2
144,0,0
145,3,3
146,1,1
147,3,3
148,2,2
149,2,2
150,1,1
151,3,3
152,1,1
153,2,2
154,0,0
155,1,1
156,0,0
157,0,0
158,3,3
159,1,1
160,2,2
161,2,2
162,0,0
163,0,0
164,2,2
165,3,3
166,1,1
167,2,2
168,3,3
169,1,1
170,3,3
171,1,1
172,2,2
173,2,2
174,3,3
175,2,2
176,0,0
177,3,2
178,2,2
179,1,1
180,0,0
181,0,0
182,2,2
183,3,3
184,3,3
185,0,0
186,2,2
187,3,3
188,1,1
189,3,3
190,1,1
191,2,2
192,3,3
193,3,3
194,2,2
195,2,2
196,2,2
197,3,3
198,1,1
199,1,1
200,0,0
201,1,1
202,0,0
203,2,2
204,2,2
205,2,2
206,2,2
207,1,1
208,3,3
209,3,3
210,2,2
211,2,2
212,0,0
213,2,2
214,0,0
215,3,3
216,0,0
217,1,1
218,1,1
219,3,3
220,0,0
221,0,0
222,3,3
223,2,2
224,3,3
225,3,3
226,3,3
227,2,2
228,2,2
229,3,3
230,3,3
231,3,3
232,0,0
233,1,1
234,2,2
235,0,0
236,1,1
237,3,3
238,1,1
239,0,0
240,2,3
241,2,2
242,3,3
243,2,2
244,3,3
245,3,3
246,0,0
247,1,1
248,1,1
249,0,0
250,2,2
251,2,2
252,1,1
253,0,0
254,0,0
255,2,2
256,0,0
257,1,1
258,0,0
259,3,3
260,1,1
261,1,1
262,0,0
263,0,0
264,3,3
265,1,1
266,3,3
267,1,1
268,2,2
269,1,1
270,0,0
271,0,0
272,3,3
273,1,1
274,2,2
275,2,2
276,3,3
277,1,1
278,0,0
279,0,0
280,3,3
281,3,3
282,1,1
283,1,1
284,2,2
285,1,1
286,3,3
287,3,3
288,1,1
289,1,1
290,3,3
291,3,3
292,2,2
293,3,3
294,0,0
295,1,1
296,3,3
297,1,1
298,0,0
299,1,1
300,3,3
301,0,0
302,0,0
303,3,3
304,0,0
305,1,1
306,1,1
307,2,2
308,0,0
309,2,2
310,3,3
311,2,2
312,3,3
313,0,0
314,2,2
315,3,3
316,1,1
317,0,0
318,0,0
319,1,1
